C: Cluster	Razor Protein
cluster 2	O08663
cluster 2	E9Q555
cluster 2	E9Q555
cluster 2	E9Q555
cluster 2	Q8BVG4
cluster 2	Q80SU7
cluster 2	Q3UJD6
cluster 2	Q05920
cluster 2	P21958
cluster 2	P19096
cluster 2	P14869
cluster 2	E9Q555
cluster 2	E9Q555
cluster 2	E9Q555
cluster 2	Q9JLJ2
cluster 2	Q99KQ4
cluster 2	Q8BX90
cluster 2	Q80SU7
cluster 2	Q6A0A9
cluster 2	Q64737
cluster 2	Q61768
cluster 2	Q5BLK4
cluster 2	P40124
cluster 2	P11499
cluster 2	P07901
cluster 2	P07901
cluster 2	P07901
cluster 2	P06745
cluster 2	E9Q555
cluster 2	O09174
cluster 2	Q9QZ85
cluster 2	Q9D1M4
cluster 2	Q60932
cluster 2	Q5SW19
cluster 2	P05064
cluster 2	Q00519
cluster 2	Q9WUA2
cluster 2	Q9QXD1
cluster 2	Q9JIF7
cluster 2	Q9DCQ2
cluster 2	Q922D8
cluster 2	Q91WC0
cluster 2	Q8VDD5
cluster 2	Q80XL6
cluster 2	Q7TQH0
cluster 2	Q6WKZ8
cluster 2	Q64737
cluster 2	Q62167
cluster 2	P97742
cluster 2	P61222
cluster 2	P35979
cluster 2	P47934
cluster 2	Q9R0H0
cluster 2	Q9R0H0
cluster 2	Q9JLN9
cluster 2	Q9DBM2
cluster 2	Q99JY9
cluster 2	Q922D8
cluster 2	Q8QZR1
cluster 2	Q7TQH0
cluster 2	P80317
cluster 2	P51660
cluster 2	P40142
cluster 2	P32020
cluster 2	P32020
cluster 2	P07901
cluster 2	P17563
cluster 2	Q9DBM2
cluster 2	Q8BH95
cluster 2	Q80XL6
cluster 2	Q80SU7
cluster 2	Q6PAR5
cluster 2	Q00519
cluster 2	P52480
cluster 2	P27786
cluster 2	P25688
cluster 2	P25688
cluster 2	Q8VDD5
cluster 2	P09411
cluster 2	Q9WVM3
cluster 2	Q9R0H0
cluster 2	Q9R0H0
cluster 2	Q9ERF3
cluster 2	Q9DBM2
cluster 2	Q91Y97
cluster 2	Q8R0Y6
cluster 2	Q8C196
cluster 2	Q80XL6
cluster 2	Q60590
cluster 2	P63330
cluster 2	P05064
cluster 2	P32020
cluster 2	Q9QXD6
cluster 2	Q9JII6
cluster 2	Q9CXN7
cluster 2	Q8BU30
cluster 2	P68040
cluster 2	P05064
cluster 2	P40142
cluster 2	O35490
cluster 2	O35490
cluster 2	Q9Z2F2
cluster 2	Q9R0T8
cluster 2	Q9QUK4
cluster 2	Q9JII6
cluster 2	Q9JHU4
cluster 2	Q9EPL9
cluster 2	Q9DC50
cluster 2	Q9DBJ1
cluster 2	Q9DBF1
cluster 2	Q9D8N0
cluster 2	Q9D819
cluster 2	Q9D6Y9
cluster 2	Q99MN1
cluster 2	Q99L47
cluster 2	Q922B2
cluster 2	Q922B2
cluster 2	Q921H8
cluster 2	Q8VI93
cluster 2	Q8R0Y6
cluster 2	Q8R010
cluster 2	Q80VI1
cluster 2	Q80SU7
cluster 2	Q80SU7
cluster 2	Q80SU7
cluster 2	Q71RI9
cluster 2	Q64282
cluster 2	Q64282
cluster 2	Q5SWU9
cluster 2	Q5BLK4
cluster 2	Q3U7R1
cluster 2	Q02053
cluster 2	Q00519
cluster 2	Q00519
cluster 2	P97742
cluster 2	P70303
cluster 2	P63017
cluster 2	P63017
cluster 2	P60710
cluster 2	P51855
cluster 2	P48722
cluster 2	P42227
cluster 2	P42225
cluster 2	P42225
cluster 2	P41216
cluster 2	P35700
cluster 2	P35700
cluster 2	P32020
cluster 2	P16546
cluster 2	P14069
cluster 2	P10107
cluster 2	P07901
cluster 2	O88522
cluster 2	O88428
cluster 2	O35386
cluster 2	O08585
cluster 2	E9Q555
cluster 2	E9Q555
cluster 2	E9Q555
cluster 2	E9Q555
cluster 2	E9Q555
cluster 2	A2A9C3
cluster 2	A2AKK5
cluster 2	Q9Z2V4
cluster 2	Q9Z2V4
cluster 2	Q9Z1Q5
cluster 2	Q9QZE5
cluster 2	Q9EQF5
cluster 2	Q9DC50
cluster 2	Q8R1F1
cluster 2	Q8CGC7
cluster 2	Q8CFB4
cluster 2	Q80XL6
cluster 2	Q6Q899
cluster 2	P62754
cluster 2	P55264
cluster 2	P46460
cluster 2	P32020
cluster 2	P28474
cluster 2	P11499
cluster 2	P07901
cluster 2	O35459
cluster 2	O09061
cluster 2	A2AKK5
cluster 2	E9Q555
cluster 2	Q9Z2V4
cluster 2	Q9Z0E6
cluster 2	Q9Z0E6
cluster 2	Q9WU19
cluster 2	Q9QZE5
cluster 2	Q9QY24
cluster 2	Q9QXD6
cluster 2	Q9QXD6
cluster 2	Q9JHU4
cluster 2	Q9DCM2
cluster 2	Q9DBJ1
cluster 2	Q9D819
cluster 2	Q9CQH7
cluster 2	Q9CPY7
cluster 2	Q99LI8
cluster 2	Q99L47
cluster 2	Q99KQ4
cluster 2	Q99JR8
cluster 2	Q91WT9
cluster 2	Q8R238
cluster 2	Q8R238
cluster 2	Q8R0Y6
cluster 2	Q8R0Y6
cluster 2	Q8QZR1
cluster 2	Q8QZR1
cluster 2	Q8QZR1
cluster 2	Q8BYZ7
cluster 2	Q8BW75
cluster 2	Q8BU30
cluster 2	Q8BMJ2
cluster 2	Q8BH00
cluster 2	Q80W47
cluster 2	Q61699
cluster 2	Q5SWU9
cluster 2	Q3UQ44
cluster 2	Q3UI43
cluster 2	Q2TPA8
cluster 2	Q05920
cluster 2	Q02053
cluster 2	P80316
cluster 2	P63017
cluster 2	P63005
cluster 2	P55264
cluster 2	P55264
cluster 2	P51881
cluster 2	P50285
cluster 2	P50285
cluster 2	P32020
cluster 2	P32020
cluster 2	P29758
cluster 2	P23116
cluster 2	P19157
cluster 2	P19157
cluster 2	P17751
cluster 2	P17182
cluster 2	Q61696
cluster 2	P16460
cluster 2	P14206
cluster 2	P12382
cluster 2	P11983
cluster 2	P11679
cluster 2	P11679
cluster 2	P11679
cluster 2	P11499
cluster 2	P06151
cluster 2	O70194
cluster 2	O55222
cluster 2	O35459
cluster 2	O09174
cluster 2	E9Q555
cluster 2	E9Q555
cluster 2	A2AGT5
cluster 2	A2AKK5
cluster 2	Q9Z1Q9
cluster 2	Q9QXD6
cluster 2	Q9QXD6
cluster 2	Q9QXD1
cluster 2	Q9QXD1
cluster 2	Q9JHR7
cluster 2	Q9DCM2
cluster 2	Q9D0I9
cluster 2	Q9D0F9
cluster 2	Q9CWJ9
cluster 2	Q9CPW4
cluster 2	Q99KQ4
cluster 2	Q99KQ4
cluster 2	Q99KQ4
cluster 2	Q921W4
cluster 2	Q8VDD5
cluster 2	Q8CIE6
cluster 2	Q8CIE6
cluster 2	Q8CIE6
cluster 2	Q8BP47
cluster 2	Q8BH00
cluster 2	Q80XL6
cluster 2	Q80XL6
cluster 2	Q80XL6
cluster 2	Q80SU7
cluster 2	Q6P8X1
cluster 2	Q8VDD5
cluster 2	Q61316
cluster 2	Q60710
cluster 2	Q60710
cluster 2	Q60710
cluster 2	Q5SW19
cluster 2	Q3B7Z2
cluster 2	Q2NL51
cluster 2	Q05920
cluster 2	P97789
cluster 2	P80317
cluster 2	P62814
cluster 2	P62242
cluster 2	P61161
cluster 2	P61161
cluster 2	P58252
cluster 2	P57780
cluster 2	P53810
cluster 2	P51660
cluster 2	P48758
cluster 2	P47738
cluster 2	P46735
cluster 2	P40142
cluster 2	P40142
cluster 2	P40124
cluster 2	P32020
cluster 2	P32020
cluster 2	P32020
cluster 2	P28271
cluster 2	P23116
cluster 2	Q61696
cluster 2	P17427
cluster 2	P16858
cluster 2	P16858
cluster 2	P16858
cluster 2	P15105
cluster 2	P11499
cluster 2	P11499
cluster 2	P07901
cluster 2	P07901
cluster 2	P06745
cluster 2	P06151
cluster 2	O88844
cluster 2	O88342
cluster 2	O70475
cluster 2	O70133
cluster 2	O54754
cluster 2	O35490
cluster 2	O35459
cluster 2	O09174
cluster 2	A2AKK5
cluster 2	E9Q555
cluster 2	Q9WUR2
cluster 2	Q9WUA2
cluster 2	Q9R0H0
cluster 2	Q9JIF7
cluster 2	Q9JIF7
cluster 2	Q9DC50
cluster 2	Q9D6R2
cluster 2	Q91YI0
cluster 2	Q8VDP4
cluster 2	Q8VDD5
cluster 2	Q8BMJ2
cluster 2	Q8BGG9
cluster 2	Q80XL6
cluster 2	Q61316
cluster 2	Q60931
cluster 2	Q5SUR0
cluster 2	Q3UPL0
cluster 2	Q00519
cluster 2	P63038
cluster 2	P53811
cluster 2	P51660
cluster 2	P51660
cluster 2	P32020
cluster 2	P30999
cluster 2	P29351
cluster 2	P21981
cluster 2	P21981
cluster 2	P11499
cluster 2	P10126
cluster 2	P11499
cluster 2	P07356
cluster 2	P06745
cluster 2	O88342
cluster 2	O35459
cluster 2	O35459
cluster 2	O35350
cluster 2	O08709
cluster 2	O09174
cluster 2	Q9Z2W0
cluster 2	Q9Z0E6
cluster 2	Q9WUA3
cluster 2	Q9R111
cluster 2	Q9R0H0
cluster 2	Q9JII6
cluster 2	Q9ES00
cluster 2	Q9DCM2
cluster 2	Q9DBF1
cluster 2	Q9D0F9
cluster 2	Q9CXF0
cluster 2	Q9CPY7
cluster 2	Q99MZ7
cluster 2	Q91V92
cluster 2	Q8VDD5
cluster 2	Q8VCN5
cluster 2	Q8R151
cluster 2	Q8R0W0
cluster 2	Q8CIN4
cluster 2	Q8BU30
cluster 2	Q64345
cluster 2	Q61176
cluster 2	Q60766
cluster 2	Q00519
cluster 2	P80317
cluster 2	P80313
cluster 2	P68040
cluster 2	P63038
cluster 2	P61759
cluster 2	P49429
cluster 2	P38647
cluster 2	P14152
cluster 2	P11499
cluster 2	P10126
cluster 2	P07901
cluster 2	P04918
cluster 2	O35386
cluster 2	O09173
cluster 2	B2RXC1
cluster 2	Q8VDD5
cluster 2	Q9WVJ2
cluster 2	Q9DCC4
cluster 2	Q9DBM2
cluster 2	Q9D8W5
cluster 2	Q9D8E6
cluster 2	Q7M6Y3
cluster 2	Q60769
cluster 2	Q3UQ44
cluster 2	P57780
cluster 2	P28474
cluster 2	P19096
cluster 2	P14152
cluster 2	P10126
cluster 2	O35945
cluster 2	P09411
cluster 2	Q9R0H0
cluster 2	Q9EPL9
cluster 2	Q99JY9
cluster 2	Q91VS7
cluster 2	Q8BMJ2
cluster 2	P70698
cluster 2	P58252
cluster 2	O35490
cluster 2	P56399
cluster 3	P62334
cluster 3	Q9CQW9
cluster 3	Q9DBJ1
cluster 3	Q9D8C4
cluster 3	Q9CYH2
cluster 3	Q923B6
cluster 3	P05366
cluster 3	P06151
cluster 3	WP_014600985.1
cluster 3	WP_014600985.1
cluster 3	Q923B6
cluster 3	Q8C9E8
cluster 3	Q8BGB8
cluster 3	Q80SU7
cluster 3	Q61646
cluster 3	Q60766
cluster 3	Q3TRM8
cluster 3	Q00977
cluster 3	P62849
cluster 3	P62192
cluster 3	P21958
cluster 3	O70200
cluster 3	O88685
cluster 3	Q01853
cluster 3	Q80SU7
cluster 3	Q9WVJ2
cluster 3	Q9D486
cluster 3	Q9CPY7
cluster 3	Q923B6
cluster 3	Q922D8
cluster 3	Q8R0Y6
cluster 3	Q64374
cluster 3	Q60766
cluster 3	Q3THG9
cluster 3	Q01853
cluster 3	P70362
cluster 3	P68040
cluster 3	P62849
cluster 3	P62334
cluster 3	P61222
cluster 3	P57080
cluster 3	P24549
cluster 3	P23492
cluster 3	P15105
cluster 3	O88342
cluster 3	P06745
cluster 3	Q9R1P0
cluster 3	Q9CW03
cluster 3	Q8K183
cluster 3	Q80SU7
cluster 3	Q64374
cluster 3	Q60710
cluster 3	Q3U1Y4
cluster 3	P62082
cluster 3	P53026
cluster 3	P52332
cluster 3	P21278
cluster 3	P14206
cluster 3	E9Q9A9
cluster 3	G3X982
cluster 3	Q9Z2U1
cluster 3	Q9Z2F2
cluster 3	Q923B6
cluster 3	Q922B2
cluster 3	Q8R151
cluster 3	Q61176
cluster 3	Q00519
cluster 3	P54726
cluster 3	P37040
cluster 3	O88844
cluster 3	P11499
cluster 3	Q9JHU4
cluster 3	Q9DBF1
cluster 3	Q9CX56
cluster 3	Q60932
cluster 3	Q60931
cluster 3	Q01853
cluster 3	Q00519
cluster 3	P62196
cluster 3	P58252
cluster 3	P57776
cluster 3	P16858
cluster 3	O35864
cluster 3	P10126
cluster 3	Q923B6
cluster 3	Q921I1
cluster 3	Q3UQ44
cluster 3	O55239
cluster 3	P27612
cluster 3	Q9QZ85
cluster 3	Q60766
cluster 3	Q60930
cluster 3	Q9Z2V4
cluster 3	Q9QZ85
cluster 3	Q9CQR2
cluster 3	Q9CQR2
cluster 3	Q8VDN2
cluster 3	Q8CGP1
cluster 3	Q6EDY6
cluster 3	Q64324
cluster 3	P62843
cluster 3	P61982
cluster 3	P60867
cluster 3	P60710
cluster 3	P41233
cluster 3	P40142
cluster 3	Q6ZWY9
cluster 3	O35226
cluster 3	Q3THW5
cluster 3	Q9Z2U1
cluster 3	Q9Z1Z2
cluster 3	Q9Z0E6
cluster 3	Q9R1Q6
cluster 3	Q9QZ85
cluster 3	Q9EQK5
cluster 3	Q9EQK5
cluster 3	Q923B6
cluster 3	Q923B6
cluster 3	P62717
cluster 3	P62270
cluster 3	P28235
cluster 3	P20491
cluster 3	P16858
cluster 3	E9Q555
cluster 3	P05366
cluster 3	Q9ET01
cluster 3	Q923B6
cluster 3	Q80SU7
cluster 3	Q64378
cluster 3	Q60953
cluster 3	P26043
cluster 3	P26041
cluster 3	P25446
cluster 3	P16858
cluster 3	O88685
cluster 3	P24549
cluster 3	E9Q555
cluster 3	O35490
cluster 3	Q9D0M1
cluster 3	Q921H8
cluster 3	Q80SU7
cluster 3	Q64282
cluster 3	Q61316
cluster 3	Q60766
cluster 3	P63101
cluster 3	P52840
cluster 3	P51410
cluster 3	P26040
cluster 3	P25444
cluster 3	P24549
cluster 3	P14152
cluster 3	P12970
cluster 3	P06801
cluster 3	O88428
cluster 3	P06801
cluster 3	WP_014600747.1
cluster 3	WP_014600747.1
cluster 3	WP_003723844.1
cluster 3	Q9Z2U1
cluster 3	Q9Z0E6
cluster 3	Q9R1P4
cluster 3	Q9QZE7
cluster 3	Q9QYB1
cluster 3	Q9QXF8
cluster 3	Q9EQK5
cluster 3	Q9DBF1
cluster 3	Q9D8C4
cluster 3	Q99JX4
cluster 3	Q8CIE6
cluster 3	Q80SU7
cluster 3	Q64345
cluster 3	Q64282
cluster 3	Q64112
cluster 3	Q61699
cluster 3	Q61176
cluster 3	Q61107
cluster 3	Q60932
cluster 3	Q5RJH2
cluster 3	P97351
cluster 3	P97351
cluster 3	P68372
cluster 3	P61971
cluster 3	P50247
cluster 3	P49429
cluster 3	P47802
cluster 3	P21981
cluster 3	P21981
cluster 3	P14824
cluster 3	O70458
cluster 3	O35309
cluster 3	E9Q555
cluster 3	E9Q555
cluster 3	E9Q555
cluster 3	Q922D8
cluster 3	Q8C1E7
cluster 3	Q711T7
cluster 3	Q61176
cluster 3	Q60953
cluster 3	Q00519
cluster 3	P97351
cluster 3	P97328
cluster 3	P80314
cluster 3	P62301
cluster 3	P57080
cluster 3	P28271
cluster 3	Q01768
cluster 3	P12246
cluster 3	E9Q555
cluster 3	E9Q555
cluster 3	E9Q555
cluster 3	A2AKK5
cluster 3	E9Q555
